Category,Month,Value of Internet Payments Made,Number of Internet Payments Made,Value of IVR Payments Made,Number of IVR Payments Made,Value of Browser Payments Made,Number of Browser Payments Made
Leeds Card,Apr-17,,,,,,
Leodis,Apr-17,280.09,12,,,,
Highways,Apr-17,,,,,"19,821.50",201
City & Environmental Services,Apr-17,"4,120.50",41,,,"23,113.50",334
School Meals,Apr-17,"38,559.75","1,079",,,,
Entertainment Licences,Apr-17,"3,826.00",59,,,"10,063.50",136
Nurseries,Apr-17,"81,059.66",440,,,,
Blue Badge,Apr-17,,,,,"6,275.00",653
EAS,Apr-17,,,,,"2,045.85",1
Home Ownership,Apr-17,,,,,186.88,2
Registrars,Apr-17,,,,,"59,902.50","1,266"
Planning,Apr-17,,,,,"112,391.40",402
Property Maintenance,Apr-17,,,,,836.04,2
Housing Repairs & Keys,Apr-17,,,,,502.64,29
Electoral & Local Land Charges,Apr-17,,,,,200.5,3
Fleet Services,Apr-17,,,,,,
Museums,Apr-17,,,,,"2,834.00",6
Parks and Countryside,Apr-17,,,,,127.5,2
Children's Services,Apr-17,,,,,,
Asset Regeneration,Apr-17,,,,,,
Housing Rent,Apr-17,"635,099.00","4,438","484,745.83","3,177","716,841.62","4,339"
Mortgages,Apr-17,91.39,1,120,1,,
Sundry Debtors,Apr-17,"174,832.63",582,"153,090.89",649,"101,230.56",483
Commercial/Market Rents,Apr-17,"36,183.77",57,"133,809.53",231,175.5,1
Council Tax,Apr-17,"1,205,166.55","9,822","1,078,382.93","8,294","299,957.18","2,453"
Business Rates,Apr-17,"33,928.52",58,"79,269.80",143,"67,300.22",80
Housing Benefits Overpayments,Apr-17,"12,350.52",264,"23,814.04",452,"35,243.57",254
Parking Fines,Apr-17,"99,094.00","2,777","95,307.10","2,585","7,363.70",294
Leeds Card,May-17,,,,,,
Leodis,May-17,138.06,6,,,,
Highways,May-17,,,,,"25,664.73",205
City & Environmental Services,May-17,"17,396.83",636,,,"35,144.60",993
School Meals,May-17,"30,795.34","1,114",,,,
Entertainment Licences,May-17,"5,204.00",84,,,"13,603.00",174
Nurseries,May-17,"87,062.83",480,,,,
Blue Badge,May-17,,,,,"7,202.80",746
EAS,May-17,,,,,"3,283.19",6
Home Ownership,May-17,,,,,873.59,9
Registrars,May-17,,,,,"69,557.00","1,616"
Planning,May-17,,,,,"154,433.01",450
Property Maintenance,May-17,,,,,,
Housing Repairs & Keys,May-17,,,,,682.05,36
Electoral & Local Land Charges,May-17,,,,,,
Fleet Services,May-17,,,,,,
Museums,May-17,,,,,979,8
Parks and Countryside,May-17,,,,,650,1
Children's Services,May-17,,,,,,
Asset Regeneration,May-17,,,,,,
Housing Rent,May-17,"682,532.67","4,833","547,766.67","3,535","784,626.82","4,807"
Mortgages,May-17,379.39,3,201.39,2,,
Sundry Debtors,May-17,"187,128.58",635,"201,423.28",716,"151,476.50",513
Commercial/Market Rents,May-17,"36,480.96",68,"131,787.98",243,175.5,1
Council Tax,May-17,"1,111,680.85","10,445","1,060,156.76","9,433","336,846.92","2,629"
Business Rates,May-17,"63,920.47",86,"123,340.85",179,"131,274.12",134
Housing Benefits Overpayments,May-17,"16,409.92",292,"32,365.57",524,"37,327.78",270
Parking Fines,May-17,"149,717.00","4,222","132,763.05","3,749","11,166.00",397
Leeds Card,Jun-17,,,,,,
Leodis,Jun-17,285.13,13,,,,
Highways,Jun-17,,,,,"18,632.30",238
City & Environmental Services,Jun-17,"15,586.66",609,,,"39,654.75","1,087"
School Meals,Jun-17,"46,846.97","1,375",,,,
Entertainment Licences,Jun-17,"6,193.00",89,,,"11,811.00",175
Nurseries,Jun-17,"78,661.65",474,,,,
Blue Badge,Jun-17,,,,,"7,065.00",725
EAS,Jun-17,,,,,"9,724.37",11
Home Ownership,Jun-17,,,,,999.66,10
Registrars,Jun-17,,,,,"56,690.00","1,407"
Planning,Jun-17,,,,,"140,809.47",430
Property Maintenance,Jun-17,,,,,,
Housing Repairs & Keys,Jun-17,,,,,"1,038.52",40
Electoral & Local Land Charges,Jun-17,,,,,,
Fleet Services,Jun-17,,,,,,
Museums,Jun-17,,,,,891.7,6
Parks and Countryside,Jun-17,,,,,,
Children's Services,Jun-17,,,,,,
Asset Regeneration,Jun-17,,,,,,
Housing Rent,Jun-17,"670,601.13","4,744","513,828.61","3,438","776,178.55","4,660"
Mortgages,Jun-17,236.39,2,196.39,2,,
Sundry Debtors,Jun-17,"233,268.13",843,"220,935.25",936,"170,556.75",754
Commercial/Market Rents,Jun-17,"41,140.76",60,"136,864.58",220,755.5,3
Council Tax,Jun-17,"1,007,338.09","9,964","968,769.93","8,936","367,215.92","2,593"
Business Rates,Jun-17,"36,633.69",58,"94,000.21",123,"111,705.14",117
Housing Benefits Overpayments,Jun-17,"13,204.89",276,"21,907.47",454,"20,637.35",244
Parking Fines,Jun-17,"128,194.00","3,587","116,469.40","3,162","9,060.00",355
Leeds Card,Jul-17,,,,,,
Leodis,Jul-17,171.04,10,,,,
Highways,Jul-17,,,,,"26,668.92",254
City & Environmental Services,Jul-17,"16,347.00",643,,,"39,587.87","1,248"
School Meals,Jul-17,"14,396.30",746,,,-15.3,1
Entertainment Licences,Jul-17,"6,333.00",87,,,"12,355.00",166
Nurseries,Jul-17,"79,673.34",458,,,,
Blue Badge,Jul-17,,,,,"7,555.00",778
EAS,Jul-17,,,,,"5,164.04",6
Home Ownership,Jul-17,,,,,373.76,4
Registrars,Jul-17,,,,,"64,599.00","1,436"
Planning,Jul-17,"1,460.00",12,,,"134,271.62",435
Property Maintenance,Jul-17,,,,,180,1
Housing Repairs & Keys,Jul-17,,,,,694.97,45
Electoral & Local Land Charges,Jul-17,,,,,,
Fleet Services,Jul-17,,,,,,
Museums,Jul-17,,,,,315,5
Parks and Countryside,Jul-17,,,,,"2,107.50",15
Children's Services,Jul-17,,,,,,
Asset Regeneration,Jul-17,,,,,,
Housing Rent,Jul-17,"705,297.47","4,892","542,587.26","3,546","751,433.01","4,627"
Mortgages,Jul-17,91.39,1,307.27,3,,
Sundry Debtors,Jul-17,"257,238.20",690,"249,367.85",772,"187,708.15",600
Commercial/Market Rents,Jul-17,"38,016.06",66,"148,403.17",230,"1,490.40",2
Council Tax,Jul-17,"1,025,722.72","9,967","967,307.32","8,936","339,640.69","2,808"
Business Rates,Jul-17,"34,811.89",77,"80,584.66",147,"102,398.79",120
Housing Benefits Overpayments,Jul-17,"19,672.01",288,"30,764.39",428,"29,383.30",235
